# KempsRidley.txt
#
# Extracted from Figure 1a in Wabnitz, C. and D. Pauly.  2008.  Length-weight relationships
#  and additional growth parameters for sea turtles.  Fisheries Centre Research Report
#  16(10):92-101.
#
# scl: straight carapace length (cm)
# wt: weight (kg)
# loc: location of capture
#
scl	wt	loc
19.2	1.04	Chesapeake
21.4	1.11	Chesapeake
24.5	1.26	Chesapeake
25.3	1.41	Chesapeake
25.9	2.89	Chesapeake
27.2	3.04	Chesapeake
26.9	5.04	Chesapeake
27.9	2.52	Chesapeake
28.8	2.89	Chesapeake
30.5	2.44	Chesapeake
30.4	3.63	Chesapeake
30.7	3.78	Chesapeake
31	3.78	Chesapeake
31.3	3.78	Chesapeake
31.6	3.85	Chesapeake
32.6	3.85	Chesapeake
32.8	4.81	Chesapeake
32.3	6.15	Chesapeake
33.1	6.15	Chesapeake
33.9	6.44	Chesapeake
34.8	6.89	Chesapeake
35.6	5.33	Chesapeake
36.8	5.85	Chesapeake
38.7	5.11	Chesapeake
36.3	7.04	Chesapeake
36.7	7.63	Chesapeake
36	8.07	Chesapeake
37.4	7.63	Chesapeake
37.7	7.93	Chesapeake
38.3	7.78	Chesapeake
39.1	7.7	Chesapeake
38.8	8.59	Chesapeake
39.6	9.04	Chesapeake
41	9.26	Chesapeake
41.4	10	Chesapeake
42	10.07	Chesapeake
42.6	9.85	Chesapeake
43	10	Chesapeake
42.3	10.52	Chesapeake
42.2	11.19	Chesapeake
41.7	11.26	Chesapeake
43.8	8	Chesapeake
45.1	8	Chesapeake
44.9	10.22	Chesapeake
44.7	10.22	Chesapeake
44.7	10.74	Chesapeake
44.5	11.04	Chesapeake
45.2	11.04	Chesapeake
45.2	11.33	Chesapeake
44.9	11.85	Chesapeake
44.8	12.15	Chesapeake
44	12.15	Chesapeake
43.4	11.85	Chesapeake
42.2	11.33	Chesapeake
41.9	11.48	Chesapeake
45.2	12.52	Chesapeake
45.7	12.81	Chesapeake
46.3	12.52	Chesapeake
46.1	13.33	Chesapeake
46.4	14.07	Chesapeake
45.7	14.81	Chesapeake
46.8	15.04	Chesapeake
47.8	15.04	Chesapeake
50	13.19	Chesapeake
49.9	15.26	Chesapeake
50.5	16	Chesapeake
49.4	16.37	Chesapeake
48.9	16.3	Chesapeake
48.5	16.96	Chesapeake
50.2	17.11	Chesapeake
50	19.04	Chesapeake
50.7	19.33	Chesapeake
51.8	19.11	Chesapeake
54	18.96	Chesapeake
53.8	20.81	Chesapeake
58.2	21.56	Chesapeake
55.4	22.52	Chesapeake
54.1	23.04	Chesapeake
54.4	24	Chesapeake
55.5	24	Chesapeake
52.1	24.22	Chesapeake
66.8	26.15	Chesapeake
66.9	40.22	Chesapeake
65.9	43.63	Chesapeake
64.3	40.15	Florida
64.9	26.59	Florida
62.4	27.11	Florida
58.1	25.41	Florida
59	24.59	Florida
57.9	20.07	Florida
53.4	20	Florida
54.8	19.04	Florida
51.8	19.56	Florida
51.2	19.56	Florida
50.9	17.41	Florida
46.9	15.63	Florida
47.5	15.41	Florida
41.5	11.04	Florida
39.5	9.63	Florida
38.4	8.96	Florida
38.3	8.44	Florida
37.6	8.52	Florida
36.5	8.52	Florida
35.7	7.11	Florida
34.7	7.11	Florida
34.6	6.52	Florida
31.1	5.41	Florida
31.9	5.04	Florida
28.5	4.52	Florida
31.5	3.93	Florida
