len,age,period,species
37,1,pre,BLG
35,1,pre,BLG
31,1,pre,BLG
33,1,pre,BLG
42,1,pre,BLG
46,1,pre,BLG
47,1,pre,BLG
42,1,pre,BLG
41,1,pre,BLG
40,1,pre,BLG
48,1,pre,BLG
47,1,pre,BLG
45,1,pre,BLG
44,1,pre,BLG
41,1,pre,BLG
41,1,pre,BLG
49,1,pre,BLG
42,1,pre,BLG
40,1,pre,BLG
44,1,pre,BLG
44,1,pre,BLG
40,1,pre,BLG
41,1,pre,BLG
43,1,pre,BLG
44,1,pre,BLG
42,1,pre,BLG
43,1,pre,BLG
41,1,pre,BLG
42,1,pre,BLG
40,1,pre,BLG
49,1,pre,BLG
48,1,pre,BLG
44,1,pre,BLG
44,1,pre,BLG
44,1,pre,BLG
41,1,pre,BLG
46,1,pre,BLG
47,1,pre,BLG
49,1,pre,BLG
44,1,pre,BLG
49,1,pre,BLG
49,1,pre,BLG
48,1,pre,BLG
41,1,pre,BLG
40,1,pre,BLG
41,1,pre,BLG
42,1,pre,BLG
41,1,pre,BLG
44,1,pre,BLG
47,1,pre,BLG
41,1,pre,BLG
42,1,pre,BLG
48,1,pre,BLG
49,1,pre,BLG
41,1,pre,BLG
40,1,pre,BLG
51,1,pre,BLG
53,1,pre,BLG
57,1,pre,BLG
52,1,pre,BLG
53,1,pre,BLG
52,1,pre,BLG
56,1,pre,BLG
53,1,pre,BLG
50,1,pre,BLG
53,1,pre,BLG
52,1,pre,BLG
51,1,pre,BLG
53,1,pre,BLG
59,1,pre,BLG
55,1,pre,BLG
52,1,pre,BLG
50,1,pre,BLG
56,1,pre,BLG
51,1,pre,BLG
51,1,pre,BLG
56,1,pre,BLG
58,1,pre,BLG
52,1,pre,BLG
56,1,pre,BLG
57,1,pre,BLG
52,1,pre,BLG
52,1,pre,BLG
57,1,pre,BLG
57,1,pre,BLG
51,1,pre,BLG
51,1,pre,BLG
51,1,pre,BLG
57,1,pre,BLG
59,1,pre,BLG
54,1,pre,BLG
53,1,pre,BLG
52,1,pre,BLG
52,1,pre,BLG
50,1,pre,BLG
55,1,pre,BLG
50,1,pre,BLG
53,1,pre,BLG
51,1,pre,BLG
50,1,pre,BLG
59,1,pre,BLG
57,1,pre,BLG
59,1,pre,BLG
50,1,pre,BLG
51,1,pre,BLG
59,1,pre,BLG
59,1,pre,BLG
59,1,pre,BLG
51,1,pre,BLG
50,1,pre,BLG
58,1,pre,BLG
52,1,pre,BLG
56,1,pre,BLG
56,1,pre,BLG
56,1,pre,BLG
52,1,pre,BLG
59,1,pre,BLG
55,1,pre,BLG
59,1,pre,BLG
54,1,pre,BLG
51,1,pre,BLG
52,1,pre,BLG
53,1,pre,BLG
51,1,pre,BLG
54,1,pre,BLG
54,1,pre,BLG
58,1,pre,BLG
54,1,pre,BLG
50,1,pre,BLG
52,1,pre,BLG
51,1,pre,BLG
56,1,pre,BLG
57,1,pre,BLG
57,1,pre,BLG
57,1,pre,BLG
58,1,pre,BLG
52,1,pre,BLG
50,1,pre,BLG
50,1,pre,BLG
58,1,pre,BLG
51,1,pre,BLG
56,1,pre,BLG
57,1,pre,BLG
58,1,pre,BLG
53,1,pre,BLG
58,1,pre,BLG
54,1,pre,BLG
50,1,pre,BLG
50,1,pre,BLG
55,1,pre,BLG
57,1,pre,BLG
59,1,pre,BLG
56,1,pre,BLG
57,1,pre,BLG
50,1,pre,BLG
51,1,pre,BLG
58,2,pre,BLG
56,2,pre,BLG
68,2,pre,BLG
60,2,pre,BLG
60,2,pre,BLG
61,2,pre,BLG
60,2,pre,BLG
60,2,pre,BLG
60,2,pre,BLG
69,2,pre,BLG
64,2,pre,BLG
64,2,pre,BLG
60,2,pre,BLG
69,2,pre,BLG
67,2,pre,BLG
62,2,pre,BLG
62,2,pre,BLG
63,2,pre,BLG
73,2,pre,BLG
72,2,pre,BLG
71,2,pre,BLG
70,2,pre,BLG
73,2,pre,BLG
79,2,pre,BLG
73,2,pre,BLG
77,2,pre,BLG
73,2,pre,BLG
76,2,pre,BLG
74,2,pre,BLG
70,2,pre,BLG
74,2,pre,BLG
79,2,pre,BLG
79,2,pre,BLG
70,2,pre,BLG
80,2,pre,BLG
