year,species,metricTons,pounds,dollars,
1950,ATLANTIC_COD,26077.50,57490400,3622665,
1951,ATLANTIC_COD,22690.30,50023000,3634700,
1952,ATLANTIC_COD,19815.80,43685900,3157820,
1953,ATLANTIC_COD,14814.70,32660400,2205968,
1954,ATLANTIC_COD,16702.90,36823200,2182459,
1955,ATLANTIC_COD,16139.80,35581900,2156790,
1956,ATLANTIC_COD,15933.60,35127300,2225148,
1957,ATLANTIC_COD,15453.50,34068800,2177647,
1958,ATLANTIC_COD,18762.00,41362700,3041210,
1959,ATLANTIC_COD,21083.90,46481600,3312408,
1960,ATLANTIC_COD,18317.10,40381800,2698022,
1961,ATLANTIC_COD,21132.90,46589500,2993944,
1962,ATLANTIC_COD,21278.20,46910000,3292632,
1963,ATLANTIC_COD,19131.60,42177600,3105384,
1964,ATLANTIC_COD,17575.70,38747493,2670706,
1965,ATLANTIC_COD,16350.90,36047284,2877254,
1966,ATLANTIC_COD,17044.40,37576100,3196559,
1967,ATLANTIC_COD,20139.50,44399500,3577462,
1968,ATLANTIC_COD,22324.30,49216200,3463465,
1969,ATLANTIC_COD,26082.60,57501600,4836909,
1970,ATLANTIC_COD,24143.20,53226100,5740382,
1971,ATLANTIC_COD,24586.40,54203100,6516236,
1972,ATLANTIC_COD,21149.90,46627000,7940962,
1973,ATLANTIC_COD,22870.40,50420000,9045422,
1974,ATLANTIC_COD,26605.60,58654800,11306463,
1975,ATLANTIC_COD,25462.10,56133700,13214202,
1976,ATLANTIC_COD,25415.10,56030100,14625769,
1977,ATLANTIC_COD,34881.80,76900500,17340558,
1978,ATLANTIC_COD,39587.30,87274200,21621126,
1979,ATLANTIC_COD,45021.00,99253280,28891572,
1980,ATLANTIC_COD,53422.20,117774600,31790379,
1981,ATLANTIC_COD,46487.40,102486200,34856120,
1982,ATLANTIC_COD,53028.50,116906600,39116027,
1983,ATLANTIC_COD,50888.60,112189100,38190883,
1984,ATLANTIC_COD,43856.40,96685805,36137916,
1985,ATLANTIC_COD,37432.00,82522500,35013361,
1986,ATLANTIC_COD,27638.10,60930900,36027727,
1987,ATLANTIC_COD,26825.30,59139000,44180015,
1988,ATLANTIC_COD,34603.30,76286500,43046947,
1989,ATLANTIC_COD,35857.80,79052000,48086272,
1990,ATLANTIC_COD,43624.40,96174274,61444407,
1991,ATLANTIC_COD,42178.50,92986656,74296075,
1992,ATLANTIC_COD,27918.50,61549189,52191065,
1993,ATLANTIC_COD,22956.50,50609861,44957832,
1994,ATLANTIC_COD,17775.50,39187760,36575402,
1995,ATLANTIC_COD,13632.70,30054658,28588556,
1996,ATLANTIC_COD,14238.70,31390613,26613886,
1997,ATLANTIC_COD,12979.50,28614635,24445400,
1998,ATLANTIC_COD,11114.00,24502026,25460537,
1999,ATLANTIC_COD,9724.10,21437835,23932403,
2000,ATLANTIC_COD,11371.70,25070131,26397506,
2001,ATLANTIC_COD,15063.40,33208721,32095090,
2002,ATLANTIC_COD,13086.40,28850296,30638911,
2003,ATLANTIC_COD,10704.90,23599993,27535027,
2004,ATLANTIC_COD,7283.50,16057292,21672070,
2005,ATLANTIC_COD,6311.00,13913331,20847327,
2006,ATLANTIC_COD,5710.00,12588182,20440902,
2007,ATLANTIC_COD,7657.90,16882513,27070825,
2008,ATLANTIC_COD,8690.20,19158329,30783436,
2009,ATLANTIC_COD,8946.10,19722519,25223364,
2010,ATLANTIC_COD,8039.40,17723579,28142679,
2011,ATLANTIC_COD,7981.40,17595724,32598824,
2012,ATLANTIC_COD,4765.50,10506072,22189915,
1950,STRIPED_BASS,3506.80,7731100,1369181,
1951,STRIPED_BASS,2774.50,6116600,1299857,
1952,STRIPED_BASS,2448.70,5398300,1173760,
1953,STRIPED_BASS,2318.60,5111600,1120263,
1954,STRIPED_BASS,2278.70,5023600,1060461,
1955,STRIPED_BASS,2251.80,4964300,1114384,
1956,STRIPED_BASS,2047.30,4513500,976455,
1957,STRIPED_BASS,1895.70,4179300,902076,
1958,STRIPED_BASS,2773.10,6113640,1286052,
1959,STRIPED_BASS,3721.40,8204200,1435258,
1960,STRIPED_BASS,3892.20,8580800,1337436,
1961,STRIPED_BASS,4306.40,9493800,1268832,
1962,STRIPED_BASS,3930.70,8665600,1345473,
1963,STRIPED_BASS,4244.40,9357200,1313392,
1964,STRIPED_BASS,3903.80,8606400,1378557,
1965,STRIPED_BASS,3516.90,7753400,1458930,
1966,STRIPED_BASS,4139.10,9125100,1655567,
1967,STRIPED_BASS,4763.30,10501200,1729207,
1968,STRIPED_BASS,5048.50,11129900,2283261,
1969,STRIPED_BASS,5641.30,12436900,2493911,
1970,STRIPED_BASS,5074.00,11186100,2528033,
1971,STRIPED_BASS,3579.00,7890300,2139972,
